x,pdf
0,0.009597404195418038
1,0.010361345220691346
2,0.011195533880418653
3,0.012103439413788851
4,0.013086950106518275
5,0.01414549293564089
6,0.015274909346459541
7,0.016466103519316596
8,0.01770354867806128
9,0.01896384503540705
10,0.020214664579067607
11,0.02141456187455892
12,0.022514207159738824
13,0.023459505522071048
14,0.024196709368607055
15,0.024679008514289023
16,0.024873368039758113
17,0.024765923423263832
18,0.02436437872277077
19,0.023696664392138297
20,0.022806274531883552
21,0.02174566550858926
22,0.020569438986098493
23,0.019328716157617522
24,0.018067429127429774
25,0.01682057911499206
26,0.015614071074629402
27,0.01446557287414697
28,0.013385886560859246
29,0.012380452781494284
30,0.011450756444675187
31,0.010595520884973357
32,0.009811657835345669
33,0.009094986066459395
34,0.008440752491108764
35,0.0078439953647914
36,0.0072997870428708036
37,0.00680338814625459
38,0.006350338535086596
39,0.005936504479268734
40,0.005558096356581355
41,0.005211667202195723
42,0.004894099384009431
43,0.004602584423609305
44,0.00433459935211451
45,0.004087881832122828
46,0.0038604054676250003
47,0.0036503561667577578
48,0.0034561100451557104
49,0.0032762131071262792
50,0.0031093627793587226
51,0.002954391269873211
52,0.0028102506639894153
53,0.002675999635653857
54,0.0025507916370849687
55,0.002433864425894043
56,0.002324530792207529
57,0.0022221703558814743
58,0.002126222313691574
59,0.0020361790271185994
60,0.001951580352214605
61,0.0018720086235333724
62,0.001797084213954713
63,0.0017264616012822064
64,0.0016598258806938564
65,0.0015968896694779945
66,0.0015373903570296077
67,0.001481087658871082
68,0.001427761438561229
69,0.0013772097658351508
70,0.0013292471832415385
71,0.0012837031569763809
72,0.001240420690611026
73,0.001199255083030921
74,0.001160072814186678
75,0.0011227505442535193
76,0.0010871742135359686
77,0.0010532382319745816
78,0.001020844748439237
79,0.0009899029911540557
80,0.000960328671614111
81,0.0009320434452427369
82,0.000904974422816808
83,0.0008790537273701452
84,0.0008542180918845608
85,0.0008304084936047154
86,0.0008075698212762124
87,0.0007856505720142785
88,0.000764602574869966
89,0.0007443807384781219
90,0.0007249428204517146
91,0.0007062492164350327
92,0.0006882627669477868
93,0.0006709485803467281
94,0.0006542738704040503
95,0.0006382078071552288
96,0.0006227213798053533
97,0.0006077872706044447
98,0.0005933797387104937
99,0.0005794745131555086
100,0.0005660486941161227
101,0.0005530806617674224
102,0.0005405499920676765
103,0.0005284373788834928
104,0.0005167245619203842
105,0.0005053942599735247
106,0.0004944301090582174
107,0.0004838166050198558
108,0.0004735390502593924
109,0.0004635835042430072
110,0.0004539367374941268
111,0.0004445861887925603
112,0.00043551992532956567
113,0.0004267266055894158
114,0.0004181954447477331
115,0.00040991618239471025
116,0.0004018790524075279
117,0.00039407475481097594
118,0.00038649442947863964
119,0.0003791296315391551
